Biomarker,Protein_Gene_or_Other,Experiment_to_Measure_Biomarker,Type_of_Sample,Predictive_Prognostic_or_Diagnostic,Function_as_Biomarker,Type_of_Cancer_or_Disease,Clinical_Endpoint_or_Characteristic_in_Study,Citation,Year_of_Publication,Country_of_Participants,State_or_Region_in_Country_of_Participants
fibulin-3,Protein,commercially available ELISA,serum and plasma,Diagnostic,determination of diagnostic value for differentiation,malignant mesothelioma (MM),ROC curve analysis with sensitivity of 93.0%,"Kaya H, et al. Fibulin-3 as a diagnostic biomarker in patients with malignant mesothelioma. Asian Pac J Cancer Prev. 16:1403-1407.",2015,Turkey,-
Granulocyte macrophage colony-stimulating factor (GM-CSF),Protein,measurement of 27 cytokines in plasma,plasma,Predictive,predictor of the response to tyrosine kinase inhibitor therapy,metastatic renal cell carcinoma (RCC),partial response (PR) achievement correlation,"Yamada D, et al. Granulocyte macrophage colony-stimulating factor as a predictor of the response of metastatic renal cell carcinoma to tyrosine kinase inhibitor therapy. Molecular and clinical oncology.",2014,Japan,Tokyo
miR-19a,RNA,quantitative RT-PCR,serum,Predictive,predictive of favorable clinical outcome,metastatic HER2+ inflammatory breast cancer (IBC),progression-free survival (PFS) and overall survival (OS),"Anfossi S, et al. High Serum miR-19a Levels Are Associated with Inflammatory Breast Cancer and Are Predictive of Favorable Clinical Outcome. PLoS ONE 9(1): e83113.",2014,USA,Houston
Human MutL homolog 1 (hMLH1),Protein,immunohistochemical analysis,biopsy specimens,Diagnostic,analyzed for expression in potentially malignant disorders,oral squamous cell carcinoma (OSCC),comparison between histopathological grades,"Chaudhari C, et al. Human MutL homolog 1 immunoexpression in oral leukoplakia and oral squamous cell carcinoma - A prospective study in India. JOMFP.",2016,India,-
miR-185 and miR-1246 profile,RNA,microarray and RTqPCR assays,plasma,Diagnostic,identified profile specifically associated with metastatic melanoma,metastatic cutaneous melanoma,risk score analysis to differentiate from healthy donors,"Armand-Labit V, et al. Identification of a Circulating MicroRNA Profile as a Biomarker of Metastatic Cutaneous Melanoma. Acta dermato-venereologica.",2016,France,Toulouse
"7-gene signature panel (ADAM7, FAM72B, etc.)",RNA,RNA-Seq based transcriptome analysis,prostatic biopsies,Prognostic,associated with early relapse from treatment,advanced prostate cancer,reduction in disease-free survival (DFS),"Rajan P, et al. Identification of a candidate prognostic gene signature by transcriptome analysis of matched pre- and post-treatment prostatic biopsies. BMC cancer 14:977.",2014,UK,Glasgow and Newcastle
High-Resolution Magic Angle Spinning Magnetic Resonance Spectroscopic Profiles,Other (Metabolic profiles),HR-MAS MR spectroscopy,core-needle biopsies (CNBs) and surgical specimens,Diagnostic,metabolic characterization as a potential marker for tumor aggressiveness,invasive breast cancer,multivariate PLS-DA models to distinguish hormone receptor status,"Park VY, et al. Intratumoral Agreement of High-Resolution Magic Angle Spinning Magnetic Resonance Spectroscopic Profiles. Medicine 95(15):e3398.",2016,Republic of Korea,Seoul and Busan
KRAS G12D mutation subtype,DNA,KRAS mutation analysis via EUS-FNA,primary tumor cellular material,Prognostic,independent prognostic marker for advanced disease,pancreatic adenocarcinoma,overall survival (OS) interval,"Bournet B, et al. KRAS G12D Mutation Subtype Is A Prognostic Factor for Advanced Pancreatic Adenocarcinoma. Clinical and translational gastroenterology.",2016,France,-
lncRNA RP11-462C24.1,RNA,microarray assay and qRT-PCR,primary CRC tissue specimens,Prognostic,low expression suggests poor prognosis,colorectal cancer,disease-specific survival (DSS),"Shi D, et al. Low expression of novel lncRNA RP11-462C24.1 suggests a biomarker of poor prognosis in colorectal cancer. Medical oncology 31:31.",2014,China,Shanghai
Macrophage Inhibitory Cytokine-1 (MIC-1),Protein,enzyme-linked immunosorbent assay (ELISA),serum,Diagnostic/Prognostic,candidate diagnostic and prognostic indicator for early-stage disease,Stage I and II nonsmall cell lung cancer (NSCLC),overall 3?year survival rate and reduced overall survival,"Liu Y-N, et al. Macrophage Inhibitory Cytokine-1 as a Novel Diagnostic and Prognostic Biomarker in Stage I and II Nonsmall Cell Lung Cancer. Chin Med J 129:2026?32.",2016,China,Beijing
CD66c,Protein,histological and immunohistochemical analysis,primary CRC tissue specimens,Diagnostic,emerging cancer stem cell related biomarker for isolation,colon carcinoma,correlation with tumor site and stage,"Nataraj SM, et al. Major Protein of Carcinoembryonic Antigen Gene Family - CD66c, A Novel Marker in Colon Carcinoma. JCDR 10(2): XC01-XC04.",2016,India,Karnataka
microRNA-222,RNA,quantitative real-time PCR (qRT-PCR),fresh NSCLC and matched adjacent tissue,Prognostic,noninvasive prognostic potential to identify new biomarkers,non-small cell lung cancer (NSCLC),correlation with clinicopathological characters,"Mao K-P, et al. MicroRNA-222 expression and its prognostic potential in non-small cell lung cancer. TheScientificWorldJournal.",2014,China,Qingao
p16 methylation,DNA,115-bp MethyLight assay,biopsy samples extracted from frozen tissues or paraffin blocks,Predictive,early predictor for cancer development from dysplasia,oral epithelial dysplasia (OED),severity score based on histopathologic diagnosis during 3-year follow-up,"Liu H, et al. P16 Methylation as an Early Predictor for Cancer Development From Oral Epithelial Dysplasia. EBioMedicine.",2015,-,-
Perfusion reduction at TRIP MR imaging,Other (Imaging metric),transcatheter intraarterial perfusion (TRIP) MR imaging,in situ scan,Predictive,promising intraprocedural biomarker to predict survival,unresectable hepatocellular carcinoma (HCC),transplant-free survival (TFS) correlation,"Wang D, et al. Perfusion reduction at transcatheter intraarterial perfusion MR imaging - a promising intraprocedural biomarker. Radiology.",2014,USA,-
Plasma tumor necrosis factor-? (TNF-?),Protein,analyzed for survival of HNSCC patients,heparinized blood,Prognostic,combination suitable for predicting survival and treatment individualized,head and neck squamous cell carcinoma (HNSCC),overall survival estimates over 36 months,"Andersson B-Å, et al. Plasma tumor necrosis factor-? and C-reactive protein as biomarker for survival in HNSCC. J Cancer Res Clin Oncol 140:515–519.",2014,Sweden,-
C-reactive protein (CRP),Protein,analyzed for survival of HNSCC patients,heparinized blood,Prognostic,combination suitable for predicting survival and treatment individualized,head and neck squamous cell carcinoma (HNSCC),overall survival estimates over 36 months,"Andersson B-Å, et al. Plasma tumor necrosis factor-? and C-reactive protein as biomarker for survival in HNSCC. J Cancer Res Clin Oncol 140:515–519.",2014,Sweden,-
serum 25-hydroxyvitamin D [25(OH)D],Other (Metabolite),chemiluminescence immunoassay,prospectively stored serum,Diagnostic,inverse association with colorectal cancer risk finds higher status protective,colorectal cancer,odd ratios (ORs) for highest versus lowest quintile,"Weinstein SJ, et al. Serum 25-hydroxyvitamin D, vitamin D binding protein and risk of colorectal cancer. Int J Cancer 136(6): E654–E664.",2015,USA,"10 centers including Birmingham, AL and Denver, CO"
"Sputum microRNA biomarkers (miRs-21, 31, and 210)",RNA,quantitative reverse transcriptase PCR,spontaneously coughed or induced sputum,Diagnostic,identifying lung cancer in indeterminate solitary pulmonary nodules (SPNs),non-small cell lung cancer (NSCLC),82.93% sensitivity and 87.84% specificity for identifying malignant SPNs,"Xing L, et al. Sputum microRNA biomarkers for identifying lung cancer in indeterminate solitary pulmonary nodules. Clin Cancer Res 21(2): 484–489.",2015,China and USA,"Baltimore, MD and Shijiazhuang"
whole-transcriptome RNA-sequencing molecular profiling,RNA,next-generation RNA-sequencing on the Illumina platform,preoperative blood and primary tumor specimens,Prognostic,utilized to develop and validate new clinically-actionable biomarker assays,primary breast cancer,tumor molecular subtyping and detection of driver mutations,"Saal LH, et al. The Sweden Cancerome Analysis Network - Breast (SCAN-B) Initiative. Genome medicine 7:20.",2015,Sweden,South Sweden
"p53 IHC, cyclin A and aneuploidy panel",Protein/DNA,immunohistochemistry (IHC) and flow cytometry,AFI-directed targeted biopsies,Diagnostic,tool for dysplasia for risk assessment,Barrett's esophagus (BO),equivalence to Seattle protocol with 4.5 fold reduction in biopsies,"di Pietro M, et al. The combination of autofluorescence endoscopy and molecular biomarkers is a novel diagnostic tool for dysplasia in Barre. Gut.",2015,UK and Netherlands,"Cambridge, Amsterdam, and Nottingham"
transforming growth factor-beta-1 (TGF-?1),Protein,evaluated to determine serum biomarkers,serum,Predictive,biomarker of radiation-induced pneumonitis (RP),esophageal cancer patients treated with radiotherapy,occurrence of RP related to cytokine levels,"Li J, et al. Transforming growth factor-beta-1 is a serum biomarker of radiation-induced pneumonitis in esophageal cancer patients. OncoTargets and therapy.",2015,China,Henan
NNAL and cotinine,Other (Metabolites),mass spectrometry,urine specimens,Diagnostic,urinary smoke-constituent biomarkers for assessing risk,lung cancer,association with lung cancer risk independent of smoking history,"Yuan J-M, et al. Urinary tobacco smoke-constituent biomarkers for assessing risk of lung cancer. Cancer research 74: 462-471.",2014,China,Shanghai
urine kidney injury molecule-1 (uKIM-1),Protein,enzyme-linked immunosorbent assay (ELISA),urine normalized with creatinine,Diagnostic/Prognostic,biomarker for supporting diagnosis and monitoring recurrence,renal cell carcinoma (RCC),reduced uKIM-1 levels post-nephrectomy,"Zhang PL, et al. Urine kidney injury molecule-1 - a potential non-invasive biomarker for patients with renal cell carcinoma. Int Urol Nephrol.",2014,USA,Michigan and Boston
MTRasym(3.5ppm),Other (Imaging parameter),Amide proton transfer–weighted imaging (APTWI),In situ brain scan,Predictive and Prognostic,Predicting histopathologic grades and assessing proliferation.,Glioma.,Histopathologic grade and Ki-67 proliferation marker.,"Su C, Liu C, et al. Amide Proton Transfer Imaging Allows Detection of Glioma Grades and Tumor Proliferation. AJNR Am J Neuroradiol. 2017.",2017,China,"Wuhan, Hankou."
Glasgow prognostic score (GPS),Other (Inflammatory score),Pretreatment blood analysis and nomogram,Pretreatment blood,Prognostic,Predict prognosis and disease-specific survival (DSS).,Nasopharyngeal carcinoma (NPC).,5-year disease-specific survival (DSS).,"Li XH, Chang H, et al. An inflammatory biomarker-based nomogram to predict prognosis of patients with nasopharyngeal carcinoma. Cancer Med. 2017.",2017,China,"Guangzhou, Guangdong."
Neutrophil-lymphocyte ratio (NLR),Other (Inflammatory ratio),Pretreatment blood analysis and nomogram,Pretreatment blood,Prognostic,Predict prognosis and disease-specific survival (DSS).,Nasopharyngeal carcinoma (NPC).,5-year disease-specific survival (DSS).,"Li XH, Chang H, et al. An inflammatory biomarker-based nomogram to predict prognosis of patients with nasopharyngeal carcinoma. Cancer Med. 2017.",2017,China,"Guangzhou, Guangdong."
Platelet-lymphocyte ratio (PLR),Other (Inflammatory ratio),Pretreatment blood analysis and nomogram,Pretreatment blood,Prognostic,Predict prognosis of nasopharyngeal carcinoma.,Nasopharyngeal carcinoma (NPC).,5-year disease-specific survival (DSS).,"Li XH, Chang H, et al. An inflammatory biomarker-based nomogram to predict prognosis of patients with nasopharyngeal carcinoma. Cancer Med. 2017.",2017,China,"Guangzhou, Guangdong."
Lymphocyte-monocyte ratio (LMR),Other (Inflammatory ratio),Pretreatment blood analysis and nomogram,Pretreatment blood,Prognostic,Predict prognosis and disease-specific survival (DSS).,Nasopharyngeal carcinoma (NPC).,5-year disease-specific survival (DSS).,"Li XH, Chang H, et al. An inflammatory biomarker-based nomogram to predict prognosis of patients with nasopharyngeal carcinoma. Cancer Med. 2017.",2017,China,"Guangzhou, Guangdong."
Calretinin,Protein,Enzyme-linked immunosorbent assay (ELISA),Serum or plasma,Diagnostic,Verification of blood-based assay for earlier detection.,Malignant mesothelioma (MM).,Comparison with established marker mesothelin and MM subtype influence.,"Johnen G, Gawrych K, et al. Calretinin as a blood-based biomarker for mesothelioma. BMC Cancer. 2017.",2017,Australia and Germany,Perth (AU); Berlin (DE).
Mesothelin,Protein,Enzyme-linked immunosorbent assay (ELISA),Serum or plasma,Diagnostic,Established marker used for detection and comparison.,Malignant mesothelioma (MM).,Performance estimation in pleural MM cases vs asbestosis controls.,"Johnen G, Gawrych K, et al. Calretinin as a blood-based biomarker for mesothelioma. BMC Cancer. 2017.",2017,Australia and Germany,Perth (AU); Berlin (DE).
Cell-free circulating DNA integrity (cfDI),DNA,Quantitative PCR (ALU and LINE1 repetitive elements),Plasma,Predictive,Independent predictor of impending breast cancer recurrence.,Breast cancer.,Recurrence risk during follow-up of initial treatment.,"Cheng J, Cuk K, et al. Cell-free circulating DNA integrity is an independent predictor of impending breast cancer recurrence. Oncotarget. 2017.",2017,Germany,Heidelberg.
Circulating microRNAs (miRNAs),RNA,Reverse transcription quantitative PCR (RT-qPCR),Blood sera,Diagnostic,Diagnostic tool focused on viral etiology.,Hepatocellular carcinoma (HCC).,Thresholds for differentiation of miRNA levels in cases vs controls.,"Sartorius K, Sartorius B, et al. Circulating microRNA's as a diagnostic tool for hepatocellular carcinoma in a hyper endemic HIV setting. BMC Cancer. 2017.",2017,South Africa,Durban; Pietermaritzburg.
Excision repair cross-complementing 1 (ERCC1),Protein,Immunohistochemistry,Resected specimen sections,Predictive,Association with responsiveness to adjuvant platinum-based chemotherapy.,Non-small cell lung cancer (NSCLC).,5-year survival rate following R0 operation.,"Liu D, Nakashima N, et al. Customized Adjuvant Chemotherapy Based on Biomarker Examination May Improve Survival of Patients. Anticancer Res. 2017.",2017,Japan,"Miki-cho, Kagawa."
